102-0,102-1,102-2,102-3,102-4,116-1,116-2,116-3,116-4,119-1,119-2,120-0,120-1,120-2,133-0,133-1,133-2,133-3,133-4,148-1,148-1.5,149-1,149-2,161-1,161-1.5,161-2,161-2.5,175-0,175-1,175-1.5,175-2,175-3,175-4,103-1,103-2,103-3,103-4,121-1,121-2,123-1,123-2,123-3,123-4,134-0,134-1,150-1,150-1.5,150-2,150-2.5,150-3,150-4,162-1,162-2,162-2.5,163-0,163-1,163-1.5,176-1,176-1.5,176-2,176-2.5,176-3,176-4,134-1a,134-1b,134-1c,134-1d,134-1e,105-1,105-2,105-3,124-0,124-1,124-2,124-3,124-4,136-1,136-2,138-0,138-1,138-2,138-3,138-4,151-0,151-1,151-2,151-2.5,151-3,151-3.5,151-4,165-1,165-1.5,165-2,165-2.5,165-3,165-3.5,106-1,106-2,106-3,106-4,126-0,126-1,126-2,126-3,126-4,139-0,139-1,139-2,139-3,139-4,140-1,140-2,140-3,140-4,152-1,152-1.5,152-2,152-2.5,152-4,167-1,167-2,167-2.5,167-3,167-4,108-0,108-1,109-0,109-1,109-2,109-3,109-4,127-0,127-1,127-2,127-3,127-4,142-1,142-2,142-3,142-4,143-0,143-1,153-1,153-2,153-2.5,153-3,153-3.5,153-4,168-0,168-1,168-1.5,168-2,168-2.5,168-3,168-4,114-0,114-1,114-2,114-3,114-4,129-1,129-2,129-3,129-4,130-0,130-1,144-0,144-1,144-2,144-3,144-4,155-0,155-1,155-1.5,155-2,155-3,155-4,169-0,169-1,169-1.5,169-2,169-2.5,169-3,169-4,115-0,115-1,115-2,115-3,115-4,115-5,115-6,115-7,115-8,131-1,131-2,131-3,131-4,145-0,145-1,145-1.5,145-2,145-2.5,145-3,145-4,158-1,158-1.5,158-2,170-0,170-1,170-1.5,170-2,170-3,170-3.5,170-4,145-1a,145-1b,145-1c,145-1d,145-1e,132-0,132-1,132-2,132-3,132-4,132-5,132-6,132-7,132-8,146-0,146-1,147-1,147-2,147-2.5,147-3,147-4,160-1,160-1.5,160-2,160-3,160-3.5,160-4,171-1,171-2,171-3,171-4,174-1,174-2,174-2.5,174-3,174-4
"33,192",,,,,,,,,"43,129","78,518","66,950",,,"27,873",,"109,588","74,244",,"100,645","61,525",,,,,,,"213,870",,,,,,,,,,"45,240",,,"68,588","37,625",,"139,227","188,258",,,,"52,360",,,,,,"34,943",,"288,859",,,,"26,695",,,"188,733","258,602","239,192","223,333","239,900",,,,,,,,"49,403",,,"135,271","111,198","38,150",,"30,655",,,,,,"17,597","66,497",,,,"25,709","87,828","220,065",,,,,"113,920",,,,,,,,,,,"18,150",,,,,,,,,,,,,"129,216",,,,"75,799","44,471",,"38,561",,,,,,,,"47,677",,"34,006",,,"24,768",,,,,,,,,,,,,"81,977","74,764",,,,,,"133,833","35,431","71,416",,"193,475","120,741","265,477",,,,,"70,328","44,374",,,,,,,,"54,957",,,,,,,,,,,,,"222,897",,,,"27,069","132,784","64,241","31,207",,,"77,284",,,,,,,,,,,,,"121,542",,,,,,"42,167",,,,,,,,,,,,,,,,"77,195",,,,,,,
"23,289",,,,,,,,,"42,025","83,100","79,292",,,"32,375","41,087","134,760","157,673","33,121","144,564","140,531",,,,,,"24,324","285,454",,,,,,,,,,"80,845",,,"123,844","66,989",,"167,260","192,498",,,"30,194","42,845",,"24,866",,,"52,115","238,037",,"1,264,538",,,,"59,368",,,"204,207","270,546","263,732","246,562","268,903",,,,"106,017",,,,,,,"272,422","93,551","39,321",,"66,651","167,605",,,,,"46,887","95,430",,,,"29,929","166,248","352,042",,,"22,091",,"57,044","45,250",,,,"338,008",,,,"37,951",,"30,192",,,,,,,,,,,,,"486,712",,,"22,412","133,529","60,642","65,738","41,107",,,,,,"45,336",,"103,061",,"37,691",,,,,,,,,,"28,428","29,184",,,,,"116,339","123,961",,,,,,"294,277","164,402","124,642",,"218,430","133,446","308,832","425,008",,,,"82,730","51,908","46,715",,,,,,,,,,,,,,,,,,,,"207,232","77,478","79,534","83,470","106,932","128,002","115,330",,"39,025",,"166,189",,,,,,,"105,357","98,984","64,404","54,433","98,060",,"124,716",,,,"48,736",,"216,744",,,,"28,761","23,148",,,"24,850",,,,,,"42,481",,"58,484",,,,,,,"30,343"
"108,429",,,,,,,,,"22,100","41,929","250,180",,,"58,692",,"61,402","190,061","17,964","176,242","220,906",,,,,,,"191,300",,,,,,,,,,"104,628",,,"110,635","42,082",,"69,214","83,385",,,,"150,675",,,,,"21,356","311,672",,"451,961",,"73,859","36,826","26,379",,,"96,056","135,056","114,313","138,481","148,270",,,,"57,042",,,,"165,980",,,"127,155","25,274",,,,"301,886",,,,,,,,,,,"116,254","237,455",,,,,"219,778","116,826",,,,"97,396",,"22,835",,,,,,,,,,,,,,,,,"110,635",,,,,,,"102,577",,,,,,,,,"45,254",,,,,,,,,,,,,,,,,"50,541",,,,,,,"440,162","320,067","318,841",,"238,109","120,524","333,621","296,975",,,,"30,225","58,629",,,,,,,,,,,,,,,,,,,,,"216,486","55,496","555,418","76,405","208,601","38,748","236,756",,,,"450,678",,,,,,,"78,874","114,116","75,958",,"86,328",,"233,492",,,,,,"500,188","42,141",,,"52,016","43,695",,,,,,,,,"87,011",,"160,294","100,169",,,,,,
"21,120",,,,,,,,,"38,047","49,355","59,489",,,"22,552","32,503","105,410","159,268","22,159","126,372","504,044",,,,,,"14,670","219,108",,,,,,,,,,"66,207",,,"112,290","58,887",,"94,031","87,443",,,,"43,171",,,,,"97,430","593,577",,"1,316,055",,,,"29,702",,,"92,246","138,176","116,166","111,011","122,727",,"32,796",,"470,735",,,,,,,"484,042","39,179",,,,"464,771",,,,,,"83,043",,,,"21,134","115,243","315,432",,,,,"34,998","47,613",,,,"894,436",,,,,,,,,,,,,,,,,,,"164,178",,,,"70,671","28,311","29,885","52,854",,,,,,,,,,,,,"21,625",,,,,,,,,,,,,"98,634","50,424",,,,,,"365,189","279,307","142,789",,"220,534","159,203","344,867","3,724,146",,,,"49,863","120,662",,,,,,,,,,,,,,,,,,,,,"121,881",,"218,253","73,219","145,654","68,194","240,927",,,,"438,458",,,,"59,403",,,,,,,,,"48,333",,,,,,"369,539",,,,"50,001","55,308",,,,,,,,,"51,206",,"87,643",,"40,564",,,,,
"22,697",,,,,,,,,"17,202","30,962","53,074",,,"23,166","19,858","42,903","103,012",,"83,720","520,525",,,,,,,"101,116",,,,,,,,,,"70,586",,,"78,582","29,130",,"61,822","68,977",,,,"86,076",,,,,"41,822","632,743",,"1,196,303",,"24,444","16,739","43,207",,,"67,680","94,561","85,980","87,461","92,160",,"13,925",,"247,553",,,,,,,"659,435","27,228",,,"18,777","320,502",,,,,"16,650","77,319",,,,"19,093","134,554","312,671",,,,,"34,010","55,974","21,107",,"13,732","439,473",,"17,450",,,,,,,,,,,,,,,,"17,551","147,183",,,,"41,485",,,"51,589",,,,,,,,,"25,108","26,464",,,"47,030",,,,,,,,,,,,,"25,677","29,656",,,,,,"626,145","272,257","194,696",,"199,644","113,736","416,940","3,617,501",,,,"67,470","63,202",,,,,,,,,,,,,,,,,,,,,"171,556","28,899","204,582","90,243","132,008","28,605","163,968",,,,"493,719",,,,"58,898",,,"37,473","46,046","36,661",,"40,556",,"119,149",,,,,,"428,624",,,,"38,428","39,931","22,746",,,,,,,,"47,364",,"95,845","25,223","45,573",,,,,
,,,,,,,,,"37,615","100,855","98,764",,,"41,425",,"102,073","42,439",,"97,107",,,,,,,"28,881","192,762",,,,,,,,,,"58,544",,,"53,440","40,379",,"142,286","165,515",,,"59,243","80,166","24,242","19,455",,,,"52,450",,"210,908",,"23,177","26,174","56,378",,,"169,909","213,626","215,786","208,871","225,923",,,,,,,,"38,663",,,"116,620","104,224","38,989",,"43,058",,,,,"22,320","30,668","91,700",,,,"30,107","90,487","123,590",,,"61,053",,"117,696","59,267",,,,,,"20,837",,"32,402",,"36,494",,,,,,,,,,,,,"100,752",,,,"68,148","44,213","33,956","57,742",,,,,,"25,871",,"48,010",,"48,772",,,"35,689",,,,,,,,,,,,,"71,967","62,305",,,,,,"156,947","39,222","126,692",,"209,125","126,888","328,980",,,,,"86,399","45,867",,,,,,,,,,,,,,,,,,,,,"167,425",,"32,008","61,550","74,432","129,010","78,241",,"37,767",,"69,149",,,,,,,"26,598","28,567",,,,,"139,988",,,,,,"75,932",,,,"36,327","33,932",,,,,,,,,,,"60,744","23,686",,,,"20,525","20,840","25,313"
,,"17,531",,,,,,,"37,404","132,674","71,034",,,"27,866","49,016","142,973","103,554","19,834","127,515","104,394",,,,,,"39,053","337,218",,,,"43,215",,,,,,"99,879",,,"99,530","70,403",,"197,795","208,205",,,"101,358","45,497","27,873","40,527",,,"107,776","423,697","22,241","800,914",,,"26,901","90,010","25,674",,"218,379","256,473","265,621","267,796","271,924",,"30,846",,"43,059",,,,,,"25,207","201,953","133,539","43,173",,"72,767","358,831",,,"20,922",,"51,628","99,653",,,,"51,449","172,891","307,002",,,"69,033",,"35,854","61,645",,,,"459,452",,,,"43,468",,"47,383",,,,,,,,,,,,,"381,825",,,,"147,403","88,800","86,879",,,,"28,395",,,"45,459",,"135,453","19,058","37,843",,,"39,953",,,,"30,936","36,176",,"38,736","43,560","20,162",,,,"107,856","113,974",,,,,,"245,298","143,041","132,231",,"265,569","192,235","434,564","422,461",,,,"97,865","68,823","172,971",,,,,,,,,,,,,,,,,,,"31,164","144,436","66,587","66,397","99,662","150,877","105,861","93,247",,,"25,461","266,804",,,,,"30,644",,"85,251","54,356","43,424",,"76,711",,"91,143",,,,"60,289",,"285,630",,,,"37,240",,,,"60,210",,,,,,"32,178",,"51,688",,,"22,027",,"33,103",,"50,094"
"18,370,866","43,884,464","118,847,168","34,635,520","30,399,908","7,477,026","20,596,524","7,761,285","22,213,806","21,460,668","25,652,554","20,709,152","29,941,582","24,207,062","36,456,532","6,701,439","16,411,823","37,907,984","2,284,435","36,654,948","11,935,501","10,737,339","69,433,872","9,793,542","4,999,676","5,850,732","14,363,246","29,604,562","19,266,082","16,977,538","5,083,363","2,579,866","7,689,546","20,445,552","10,789,580","16,191,658","19,772,572","67,333,536","18,952,982","18,235,150","11,890,669","19,327,622","1,132,599","8,905,986","25,728,188","15,092,262","13,075,744","39,134,644","21,643,566","29,877,932","25,340,110","72,536,664","17,874,600","45,819,704","24,341,748","26,292,716","40,965,136","29,001,384","22,940,638","43,254,936","57,681,888","75,807,536","8,058,060","19,906,362","28,761,942","29,297,814","27,585,642","27,023,998","16,367,285","32,679,090","23,568,826","36,396,380","4,726,734","13,533,552","62,117,476","15,661,392","12,760,819","44,621,032","119,477,472","27,606,958","19,300,506","35,457,968","24,856,700","11,746,144","94,876,648","29,060,828","50,019,940","112,049,552","104,689,152","112,014,800","16,584,462","22,286,740","94,648,656","79,235,112","54,518,076","67,335,824","33,324,876","61,176,232","44,587,436","24,616,518","22,323,588","27,249,730","19,844,520","14,799,014","26,538,632","34,884,200","41,785,688","78,218,400","189,997,792","169,211,936","23,883,542","64,338,132","42,101,780","84,984,272","12,198,431","18,822,200","22,854,920","22,028,452","15,109,576","14,772,544","32,133,246","36,478,856","62,353,076","21,061,644","21,001,690","13,138,308","3,440,158","40,715,412","68,139,888","32,867,576","40,907,620","16,781,548","8,832,778","29,090,858","11,527,996","896,562","11,440,131","3,815,299","3,329,519","54,566,500","13,891,363","29,523,630","64,723,732","44,517,108","30,871,402","11,088,827","32,052,858","57,236,020","139,077,408","33,846,736","44,639,556","108,878,480","181,659,472","22,581,498","55,016,228","2,855,335","15,556,477","8,201,897","18,097,118","2,500,786","7,870,806","48,515,404","703,387","471,583","35,377,476","14,883,454","8,377,921","16,022,052","24,549,466","20,520,698","9,421,537","38,002,812","10,758,160","13,189,385","53,805,712","23,675,046","25,602,082","104,492,632","7,576,083","6,258,798","10,673,519","33,794,668","34,808,292","84,638,304","9,065,029","10,107,166","1,407,848","62,260,920","11,032,229","17,401,844","38,696,332","16,542,586","3,431,781","13,537,222","30,661,682","41,147,472","20,679,782","24,923,750","22,197,286","15,595,264","52,497,304","13,488,527","19,398,990","31,132,416","23,211,912","18,662,350","43,155,328","103,251,680","25,840,226","14,494,015","4,839,523","22,760,412","23,853,644","13,836,139","25,248,452","25,375,888","26,013,742","26,620,228","24,975,136","45,621,292","32,977,206","22,064,580","11,430,833","36,566,896","30,217,982","27,868,196","32,046,368","43,723,296","30,058,798","14,051,447","19,559,202","72,189,936","51,273,516","114,035,448","73,156,256","8,473,647","10,589,733","11,211,966","38,090,108","47,165,404","15,284,195","10,141,039","72,257,144","21,195,754","36,406,724","52,282,064","91,521,024","35,072,908","41,065,068","83,419,752"
,"844,504","636,864","422,428","24,914,144",,,,,,,"2,531,769","1,295,367",,,"1,976,574","1,686,022","2,320,358","1,555,268","4,074,124",,"950,198","4,351,992","4,617,730","2,706,175","507,945",,"518,084",,"1,032,813","2,051,124","2,618,998","2,360,088",,"963,446","910,232","1,363,810",,,,"1,075,112","351,229","1,583,663",,"2,501,011",,,,,"1,580,719",,"580,769","28,165,368","1,383,368",,"4,213,605",,,,"1,047,934",,"1,020,334",,,"2,692,283","2,771,946","2,493,779","2,924,535","910,599",,"447,960",,"872,215",,,,"24,498,854","11,561,744","556,403","1,282,483","5,030,813","1,927,543","3,623,169","1,488,017","1,033,189","2,683,405","1,387,560","3,727,049","1,937,500","442,812","3,677,895","2,498,694",,,"2,114,816","2,145,054","550,507","692,270","2,491,973","2,525,501",,,,,"787,314",,"1,296,676","1,564,486",,"1,805,772","8,228,622","8,092,544","24,201,426","6,080,005",,,,,,,"459,440",,,,,"3,259,765",,,"3,368,685",,,,"1,158,054","3,989,380",,,"1,536,291","18,472,576","596,863","3,114,541",,"1,310,863","847,856",,"266,243","448,744","1,776,861","1,805,772",,,,"455,815",,,"642,012",,"2,620,468","3,470,976","1,137,531","3,389,017",,"754,385","2,059,132","1,456,964",,"775,939","1,636,220",,,,"6,518,050",,,"576,460","2,511,295",,,,,,"268,378",,"510,487",,,"810,437",,"3,291,720","8,277,392",,"2,272,535","5,928,094","1,079,756","2,804,838","346,069","2,110,845","771,964",,"2,512,186","1,309,096",,"2,618,800","643,813","1,652,746",,,,,"1,773,141",,"6,006,096","3,137,390","1,603,335","3,484,626","2,745,249","3,473,266","3,192,046","3,622,904","3,345,289",,,,"1,326,016","9,671,296","1,584,750",,"1,178,276",,,,,,,"8,713,984",,"755,409","2,372,277","2,698,779","3,060,765","1,942,298","669,964","1,658,497","908,785",,,"1,342,071",,"31,289,180","2,053,493",
"1,949,026","2,937,025","2,110,456","2,364,354","8,400,770","1,431,041","2,652,599","339,235","1,550,239","343,123",,"183,275","1,243,915","1,406,095","167,573","178,976","207,912",,,"5,663,952","484,890","411,346","231,670","11,017,150","3,830,248","3,579,098","1,479,189","3,726,059","2,170,854","1,976,821",,,"220,138","4,194,732",,,"84,752","2,049,409","736,495","3,329,144",,"64,347",,,"150,529","1,302,629","548,296","1,576,902","881,667","2,494,580","7,094,980","3,303,843","2,004,545","2,558,416","211,645","87,261","2,739,486","4,981,115","1,571,771",,,"94,786","466,142",,"285,766",,,,"2,604,591","1,487,369","1,097,732","4,661,918","3,730,663","2,591,906","70,217","400,479","2,512,928","9,135,379","750,530",,"232,719","500,825",,,"102,183",,"125,169",,"123,497",,"2,598,943","2,976,453","4,214,816","637,452","3,049,057","9,219,067","924,731",,,,"3,074,140","2,183,427","3,115,985","2,260,672","7,811,514","2,715,886","8,114,475","3,579,888","143,103","1,816,635","243,546",,"147,499","279,879","2,425,727","2,835,330","7,370,080","15,651,822",,"1,177,170","829,580","1,665,379","960,441","210,752","1,617,498",,"933,083","1,125,589","1,090,148",,,"3,774,949","4,579,597","1,836,341",,,"7,481,696",,"681,458",,"22,451,918","2,739,440","19,841,004","18,066,174","10,493,843","836,819","7,611,600","1,366,100",,,"368,368",,,,"165,521",,"6,539,807","456,434","185,225",,"135,722","451,368",,"818,386","173,066",,"564,815","1,207,635","301,688",,,"1,636,496","9,052,669","12,381,914","772,898","231,166","275,064","886,378","2,585,131","2,131,190","50,212,264","25,544,556",,"473,349","14,447,466","8,999,917",,,,,,,"237,808","6,065,683","2,974,717","24,081,844","5,331,523","4,472,783","1,337,935","1,502,836","282,900","491,100",,,"4,359,720","5,261,645","208,722","14,304,562","8,829,508","6,322,316","23,344,032","28,857,338","30,456,360","4,616,693","1,387,172","1,482,538","1,468,825","1,536,306","1,337,280",,"8,761,490",,,"268,684","791,961","947,954","505,464","581,017","2,001,927",,"612,408","247,383",,"1,084,158","6,784,827","46,451,780","4,174,884","4,005,831","471,666","336,861","22,107,878","12,476,946","12,888,646","45,639,568","40,136,760","1,216,703","254,606",,,"642,647"
"1,721,873","697,890","1,291,890","1,111,706","781,655","914,503","2,242,143","2,041,857","1,921,360","1,104,818","2,092,489","823,217","1,045,113","1,048,726","5,786,619","214,599","1,079,257","810,083","642,216","1,328,258","1,330,263","606,710","1,548,238","1,211,897","727,094","2,424,661","2,967,187","7,825,971","841,774","961,882","1,680,212","1,743,931","802,889","807,451","1,338,760","1,294,273","1,235,119","859,105","731,986","1,178,562","1,683,361","2,121,847","2,430,878","1,195,612","807,906","676,546","754,294","376,181","1,043,858","820,265","668,649","2,605,875","1,421,171","1,104,067","994,595","4,535,387","1,314,391","617,858","1,045,084","973,023","1,091,755","1,022,455","338,996","855,434","929,512","1,060,618","908,165","844,954","1,051,529","1,187,274","1,237,491","3,640,063","1,662,345","2,584,721","2,485,045","3,112,042","2,154,468","2,653,679","22,160,776","2,066,553","1,858,981","1,521,556","1,543,746","10,169,035","3,126,660","2,078,734","1,697,530","1,361,471","1,272,826","1,350,471","726,567","1,131,697","1,149,213","1,414,292","1,168,369","1,115,858","1,109,957","1,183,092","1,728,588","1,837,806","4,424,479","696,414","1,163,735","1,163,098","1,080,544","1,114,372","1,195,677","1,359,580","2,662,716","1,833,167","1,755,152","1,553,818","1,485,865","1,409,201","653,238","622,401","610,956","744,299","982,240","2,509,976","850,537","968,191","1,968,282","3,555,978","912,425","1,091,745","229,968","638,551","935,400","2,342,049","1,290,024","1,074,674","628,811","693,140","1,205,269","429,337","1,618,295","1,769,156","1,336,497","906,546","248,617","615,654",,"1,502,853","1,123,397","440,729","1,264,929","1,076,424","1,397,243","2,043,511","1,787,534","1,579,362","1,676,176","1,237,295","1,610,331",,"1,750,912","530,563","419,243",,"859,789","442,161","1,949,279","2,208,131","3,043,117","870,536","3,382,733","1,077,474","616,825","718,411","503,025","5,982,099","1,305,457","1,057,145","805,845","972,148","380,000","830,202","750,963","403,682","2,225,683","2,011,429","1,342,891","919,925","4,190,556","603,186","1,282,188","1,856,106","1,658,069","1,308,392","2,013,216","2,077,118","2,669,281","466,598","731,796","883,906","859,449","379,112","1,701,910","782,756","1,046,449","1,158,350","529,675","144,419","711,468","788,923","1,265,320","951,313","1,673,375","699,069","976,652","1,999,217","1,036,709","1,490,871","1,754,732","1,756,145","1,811,460","1,879,528","1,768,035","3,613,368","1,839,293","758,174","1,429,626","1,191,443","1,460,159","2,195,103","4,940,609","1,401,439","1,086,059","1,664,978","1,601,198","1,167,706","1,812,979","1,290,537","1,154,294","727,741","933,062","363,535","517,391","874,622","455,510","1,118,430","1,593,015","1,516,871","1,204,043","2,368,017","2,400,126","1,381,728","860,663","1,419,355"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,080,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,812,463",,,,,,,,,,,,,,,,,,,,,"1,348,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"249,322","102,441",,"134,074","27,618","482,699",,"47,529",,"28,647",,,"1,372,716","22,722",,"29,055",,,,,,"183,295",,"3,044,604","744,373",,"56,104",,"357,049","177,777","850,293","50,933",,"215,013","97,202","22,863","18,274","186,204","3,281,803","109,142",,,,,,"210,302","130,476",,,,,"30,123","41,008",,"55,048",,,"2,683,310","164,889","26,979","112,920",,,,,,,,"51,764","216,391","794,159",,"11,693,955","309,513","56,630",,"60,570","95,577",,,,,,,,,,,"15,478","16,472","123,250","124,998","778,668","209,369",,,"90,634","82,824","101,600",,,"421,141","52,751","41,634",,,"71,584","127,631",,"54,193","41,188",,,,"872,887","701,660","2,243,303","492,281","34,474","311,448","352,849","450,703","63,912","242,026",,"254,855","10,303,452","177,314","37,866",,,,"3,229,032","166,598",,,"54,692","59,354","53,870","313,236","157,768","114,547","122,259",,,"86,067","214,581","261,385","38,887",,"82,357",,,,"265,041",,,,,,"328,181","97,760",,,,"376,444",,"506,456",,,,,"101,379","293,491","252,499",,,,"2,051,568","202,616",,,,,,"333,049","25,328","133,798",,"56,770",,,,"454,938","106,670","196,072","48,984",,"67,472","183,728","96,955",,,"10,583,860","421,136","38,283",,,"106,508","241,218","1,599,511","171,253","61,698",,"51,572","75,132","48,882","71,545","78,817","128,596","1,103,446","105,555","124,124","121,103","75,368","65,698",,"158,223",,,"128,789","115,162","58,735","56,064","126,273","1,348,969","367,686","255,965","58,981","74,806",,"305,998","106,789","89,885",,,"40,794",,,"137,110"
,,,"91,524",,"30,514","230,175","97,987","399,168",,,,,,,,,,,,,"1,231,736",,"30,663",,,,"202,637",,,,,,,"33,162",,"43,809",,"39,063",,,,,,,,,"34,074",,,,"29,080",,,"53,061","88,988",,,,,,,,,,,,,"1,878,822","190,558","28,386","43,132",,,"95,470",,"67,354","332,941",,"30,688",,,"36,854",,,,,,,,,,,,"75,340",,"215,117",,,,,"847,959","1,982,342",,"129,392",,,"340,032",,"73,954","25,955",,,,,,,,,,,,"2,030,675","193,995",,,,"59,015","44,867",,,,"26,223",,"13,222,828",,"689,392",,,,,,,,"361,153","111,385","83,387","377,150",,"139,869","153,770","56,868","25,069","23,751",,,,,,,,,,,,,,,,,,,,,,,,"31,183","304,216","90,256","2,269,086","2,676,890","2,760,208","684,374",,,,"38,283",,"12,548",,,,,"29,128","528,146","392,419",,,,,,"17,920",,,,,,,,"24,587",,,,,,,,,,,,,,,,"32,398",,,,,"101,490","81,170",,"928,599",,,"42,496",,,"178,241",,,,,,,,,"17,280"
"93,147",,,"74,750",,,"144,273","36,063","168,529",,,,"125,657","96,531",,,,,,,,"2,101,681",,"68,534",,,,"1,338,562",,,,,,"36,344","37,716","18,606","26,569",,"255,442",,,,,,,,,,,,,"15,167",,,"321,212","52,710",,,,,,,,,,,,,"7,936,093","1,520,713","180,321","162,424",,"32,498","67,002",,"4,114,277","438,515","198,068","21,819",,,"27,380",,,,,,"47,467","24,792",,,,,"115,886",,"863,980",,,,"144,605","1,429,819","420,396",,"27,307",,,"203,734",,"51,661","239,810",,,,,,,,,"571,283",,"42,183","8,332,271","1,762,448",,,,"2,275,662","160,797",,,,,,"13,015,845","28,944","961,734",,,,,,,,"510,152","206,223","264,871","745,608",,"159,536","132,161","87,126","38,363","37,084",,,"19,226",,,,,,,,,,,,,,,,,,,,,"59,490","755,829","377,662","3,604,974","5,096,202","5,508,001","2,100,041",,,,"68,323",,,,,,,"66,889","659,778","652,002",,,,,,"41,123","26,391",,,,,,"40,695","63,320",,,,"29,048",,,,"32,006",,"81,365",,,,,,"1,754,181",,,,,"131,132","134,965",,"2,095,706","111,164","275,848","63,684",,,"1,218,625",,,"54,477",,,,,,"41,488"
,,,,,"191,309",,,,,,,,,,,,,,,,"33,128,576","1,218,965",,"534,716",,,,"206,651",,,"202,852",,"4,064,226",,,,"150,540",,,,,,,"316,370",,,,,,,"175,026",,,"555,936","569,568",,,,,,,,,,"95,487",,,"309,654","352,891","130,704",,"1,515,235",,,,"770,711",,,,,,,,,,,,,,"114,046","747,281",,"295,777",,"117,436","1,577,698",,,,,"2,569,692",,"18,740,700",,,,,,,,,"153,982",,,,,,,,,,,,"101,664",,"162,031","1,675,583","452,477","189,245","2,261,553",,,,,,"4,354,218",,,"2,379,707","280,689","67,397,512",,,"85,283",,"121,725",,"279,930",,"1,385,706","145,466","103,484","335,712","820,479",,,"218,469",,,"1,518,931","676,052",,"508,788",,,"1,738,285","1,325,448","141,171","1,868,828",,"193,380",,,,,,,,"750,054","115,366","678,476",,"1,325,721",,,,,,"141,523",,,,,,"347,358","144,585",,,"413,754",,,"479,250",,"131,067","1,251,737",,,,"248,129","333,549","303,928","1,314,774",,"161,217",,"307,529","146,452",,,,"129,093","320,515",,,,,,,,"126,629","5,401,363","224,056","132,357",,"1,272,266",,,,,"242,345",,,,,"1,854,291","459,205","292,428","459,634","429,458"
,,,"260,858",,"290,433","114,611",,,,,,"245,725",,,,,,"362,678",,,"95,147,872","141,419",,"2,867,949",,,,"343,514","432,910",,"240,067","123,611","11,713,704",,,,"211,500",,,,,,,"689,549",,,,,,,"879,405","282,391",,"716,759","663,681",,,,,,,,"600,080","465,608","312,148",,,"300,278","766,161","257,682",,"3,056,908",,,,"1,154,850","340,438",,"193,051",,,"159,721","278,335","341,001","958,399",,,"181,716",,,"2,998,215",,"343,624","285,810","188,957","4,944,567",,"401,675","248,917",,"1,598,538",,"65,030,348",,,,,,"121,725",,,"525,368","436,867",,,,,,,,,,,"60,391",,"227,407","3,899,694","755,742","99,573","3,932,129",,,,"89,898","143,953","6,317,455","55,417",,"1,057,402","264,632","70,736,328","200,832","75,404","108,512",,"234,759","60,828","404,995","134,960","3,759,406","328,200","309,902","358,938","1,075,491",,,"242,674",,,"2,657,411","921,169",,"463,100",,,"2,525,466","1,150,437","231,977","6,495,400","152,307","176,673",,,,,,,,"383,639","204,205","708,932",,"776,914",,,"90,845",,,"434,194","219,692",,,,,"128,376","187,545",,"113,031","302,173","78,956",,"2,059,289","99,257","188,730","2,921,809","149,798",,,"588,665","579,568","482,583","2,444,146",,"210,278","73,185","376,973","158,028","87,221",,,,"604,960",,,,,,,,"716,422","7,639,629","688,399","169,606","304,799","1,731,384",,,,,"170,611",,,,,"2,541,179","853,778","374,005","1,133,609","364,805"
